image_id,image_path,text_gt
plate_0001,data\crops\plate_0001.jpg,51G10096
plate_0002,data\crops\plate_0002.jpg,51G10096
plate_0003,data\crops\plate_0003.jpg,51A65474
plate_0004,data\crops\plate_0004.jpg,51G51936
plate_0005,data\crops\plate_0005.jpg,51G51936
plate_0006,data\crops\plate_0006.jpg,51A6486
plate_0007,data\crops\plate_0007.jpg,51F86988
plate_0008,data\crops\plate_0008.jpg,51F86988
plate_0009,data\crops\plate_0009.jpg,52Y6490
plate_0010,data\crops\plate_0010.jpg,51G495324
plate_0011,data\crops\plate_0011.jpg,51A96141
plate_0012,data\crops\plate_0012.jpg,51F7512
plate_0013,data\crops\plate_0013.jpg,51F79512
plate_0014,data\crops\plate_0014.jpg,29A51796
plate_0015,data\crops\plate_0015.jpg,29A51796
plate_0016,data\crops\plate_0016.jpg,51F68784
plate_0017,data\crops\plate_0017.jpg,30N4616
plate_0018,data\crops\plate_0018.jpg,48A02866
plate_0019,data\crops\plate_0019.jpg,51G22807
plate_0020,data\crops\plate_0020.jpg,51G49539
plate_0021,data\crops\plate_0021.jpg,51G49539
plate_0022,data\crops\plate_0022.jpg,43A18650
plate_0023,data\crops\plate_0023.jpg,43A18650
plate_0024,data\crops\plate_0024.jpg,51F73420
plate_0025,data\crops\plate_0025.jpg,51F73420
plate_0026,data\crops\plate_0026.jpg,47A06546
plate_0027,data\crops\plate_0027.jpg,47A06546
plate_0028,data\crops\plate_0028.jpg,51F89357
plate_0029,data\crops\plate_0029.jpg,51A64826
plate_0030,data\crops\plate_0030.jpg,51F86988
plate_0031,data\crops\plate_0031.jpg,51F86988
plate_0032,data\crops\plate_0032.jpg,52Y6490
plate_0033,data\crops\plate_0033.jpg,52Y6490
plate_0034,data\crops\plate_0034.jpg,0209
plate_0035,data\crops\plate_0035.jpg,1G49524
plate_0036,data\crops\plate_0036.jpg,51F04275
plate_0037,data\crops\plate_0037.jpg,51A96141
plate_0038,data\crops\plate_0038.jpg,51F79512
plate_0039,data\crops\plate_0039.jpg,51F68784
plate_0040,data\crops\plate_0040.jpg,51F68784
plate_0041,data\crops\plate_0041.jpg,48A02866
plate_0042,data\crops\plate_0042.jpg,48A02866
plate_0043,data\crops\plate_0043.jpg,51G49539
plate_0044,data\crops\plate_0044.jpg,51G21670
plate_0045,data\crops\plate_0045.jpg,F89357
plate_0046,data\crops\plate_0046.jpg,51A05227
plate_0047,data\crops\plate_0047.jpg,51A05227
plate_0048,data\crops\plate_0048.jpg,51G21670
plate_0049,data\crops\plate_0049.jpg,51G21670
plate_0050,data\crops\plate_0050.jpg,51A01204
plate_0051,data\crops\plate_0051.jpg,51F06948
plate_0052,data\crops\plate_0052.jpg,51G39466
plate_0053,data\crops\plate_0053.jpg,51F07973
plate_0054,data\crops\plate_0054.jpg,51F07973
plate_0055,data\crops\plate_0055.jpg,51G49160
plate_0056,data\crops\plate_0056.jpg,51F61712
plate_0057,data\crops\plate_0057.jpg,48A05177
plate_0058,data\crops\plate_0058.jpg,51F76354
plate_0059,data\crops\plate_0059.jpg,51F88270
plate_0060,data\crops\plate_0060.jpg,51F88270
plate_0061,data\crops\plate_0061.jpg,56S4698
plate_0062,data\crops\plate_0062.jpg,51F63034
plate_0063,data\crops\plate_0063.jpg,51F63034
plate_0064,data\crops\plate_0064.jpg,52Y6490
plate_0065,data\crops\plate_0065.jpg,52Y6490
plate_0066,data\crops\plate_0066.jpg,51F16159
plate_0067,data\crops\plate_0067.jpg,61A22959
plate_0068,data\crops\plate_0068.jpg,51G37675
plate_0069,data\crops\plate_0069.jpg,51A89714
plate_0070,data\crops\plate_0070.jpg,51A89714
plate_0071,data\crops\plate_0071.jpg,60A35981
plate_0072,data\crops\plate_0072.jpg,51A72110
plate_0073,data\crops\plate_0073.jpg,51A69141
plate_0074,data\crops\plate_0074.jpg,51F22403
plate_0075,data\crops\plate_0075.jpg,51F22403
plate_0076,data\crops\plate_0076.jpg,51G37307
plate_0077,data\crops\plate_0077.jpg,51G31691
plate_0078,data\crops\plate_0078.jpg,51G31691
plate_0079,data\crops\plate_0079.jpg,51G31691
