image_id,text_gt
plate_0001,51G10096
plate_0002,51G10096
plate_0003,51A65474
plate_0004,51G51936
plate_0005,51G51936
plate_0006,51A6486
plate_0007,51F86988
plate_0008,51F86988
plate_0009,52Y6490
plate_0010,51G495324
plate_0011,51A96141
plate_0012,51F7512
plate_0013,51F79512
plate_0014,29A51796
plate_0015,29A51796
plate_0016,51F68784
plate_0017,30N4616
plate_0018,48A02866
plate_0019,51G22807
plate_0020,51G49539
plate_0021,51G49539
plate_0022,43A18650
plate_0023,43A18650
plate_0024,51F73420
plate_0025,51F73420
plate_0026,47A06546
plate_0027,47A06546
plate_0028,51F89357
plate_0029,51A64826
plate_0030,51F86988
plate_0031,51F86988
plate_0032,52Y6490
plate_0033,52Y6490
plate_0034,0209
plate_0035,1G49524
plate_0036,51F04275
plate_0037,51A96141
plate_0038,51F79512
plate_0039,51F68784
plate_0040,51F68784
plate_0041,48A02866
plate_0042,48A02866
plate_0043,51G49539
plate_0044,51G21670
plate_0045,F89357
plate_0046,51A05227
plate_0047,51A05227
plate_0048,51G21670
plate_0049,51G21670
plate_0050,51A01204
plate_0051,51F06948
plate_0052,51G39466
plate_0053,51F07973
plate_0054,51F07973
plate_0055,51G49160
plate_0056,51F61712
plate_0057,48A05177
plate_0058,51F76354
plate_0059,51F88270
plate_0060,51F88270
plate_0061,56S4698
plate_0062,51F63034
plate_0063,51F63034
plate_0064,52Y6490
plate_0065,52Y6490
plate_0066,51F16159
plate_0067,61A22959
plate_0068,51G37675
plate_0069,51A89714
plate_0070,51A89714
plate_0071,60A35981
plate_0072,51A72110
plate_0073,51A69141
plate_0074,51F22403
plate_0075,51F22403
plate_0076,51G37307
plate_0077,51G31691
plate_0078,51G31691
plate_0079,51G31691
plate_0080,51G51332
plate_0081,51G51332
plate_0082,51F15585
plate_0083,51F15585
plate_0084,51F22261
plate_0085,51F22261
plate_0086,60A35981
plate_0087,60A35981
plate_0088,60A35981
plate_0089,51F59011
plate_0090,51F04275
plate_0091,51F32488
plate_0092,51F32488
plate_0093,51G43313
plate_0094,51F15585
plate_0095,51F59881
plate_0096,51F59881
plate_0097,50LD04411
plate_0098,50LD04411
plate_0099,50LD04411
plate_0100,50LD04411
plate_0101,51F82606
plate_0102,51F06532
plate_0103,51A72078
plate_0104,51A77529
plate_0105,51A05227
plate_0106,51A05227
plate_0107,51G21670
plate_0108,51F59881
plate_0109,51F59881
plate_0110,51A01204
plate_0111,51A01204
plate_0112,51G39466
plate_0113,51F07973
plate_0114,51F64712
plate_0115,51F61712
plate_0116,48A05177
plate_0117,5F76354
plate_0118,51F88270
plate_0119,51F31118
plate_0120,56S4698
plate_0121,56S4698
plate_0122,51F63034
plate_0123,51F63054
plate_0124,51A69172
plate_0125,51A69172
plate_0126,52Y6490
plate_0127,52Y6490
plate_0128,51F16159
plate_0129,61A22959
plate_0130,51G37675
plate_0131,51G37675
plate_0132,51A89714
plate_0133,51A72110
plate_0134,51G31691
plate_0135,51G31691
plate_0136,51G51332
plate_0137,51G51332
plate_0138,51F15585
plate_0139,51F15585
plate_0140,51F22261
plate_0141,5F22261
plate_0142,60A35981
plate_0143,51F59011
plate_0144,51F59011
plate_0145,51F32488
plate_0146,5G49539
plate_0147,51A01204
plate_0148,51F02754
plate_0149,51F02754
plate_0150,51A01204
plate_0151,51F31118
plate_0152,51F31118
plate_0153,51F06531
plate_0154,50LD04411
plate_0155,50LD04411
plate_0156,50LD04411
plate_0157,50LD04411
plate_0158,5F06532
plate_0159,50LD04411
plate_0160,51A72078
plate_0161,51A72078
plate_0162,51A85325
plate_0163,51A77529
plate_0164,51A77529
plate_0165,5G29034
plate_0166,51G29034
plate_0167,68C137520
plate_0168,51A05227
plate_0169,51G25181
plate_0170,51G21670
plate_0171,51G21670
plate_0172,51F59881
plate_0173,51A01204
plate_0174,51A01204
plate_0175,51G39466
plate_0176,51F07973
plate_0177,51F07973
plate_0178,51F61712
plate_0179,51G42971
plate_0180,51G37307
plate_0181,51G37307
plate_0182,51F52170
plate_0183,51F63034
plate_0184,51F63034
plate_0185,60A20880
plate_0186,60A20880
plate_0187,51A89714
plate_0188,51A89714
plate_0189,51G22237
plate_0190,51G22237
plate_0191,51A72110
plate_0192,51A72110
plate_0193,51F44614
plate_0194,51F44614
plate_0195,51G37675
plate_0196,51F24403
plate_0197,51G43630
plate_0198,50Z1630
plate_0199,51G51332
plate_0200,51F22261
plate_0201,60A35981
plate_0202,51F64665
plate_0203,51F59011
plate_0204,51F07568
plate_0205,51A90905
plate_0206,5AG00672
plate_0207,51G00672
plate_0208,5F06948
plate_0209,51F57493
plate_0210,51F06948
plate_0211,51G31691
plate_0212,51G10096
plate_0213,51A02923
plate_0214,51A16595
plate_0215,48A05177
plate_0216,51G49539
plate_0217,51G01177
plate_0218,51G01177
plate_0219,51F31118
plate_0220,51G37307
plate_0221,51G37307
plate_0222,50LD04411
plate_0223,51G47340
plate_0224,51F06532
plate_0225,51A72078
plate_0226,51A72078
plate_0227,51A77529
plate_0228,62A05772
plate_0229,51F06532
plate_0230,60LD00584
plate_0231,60A21418
plate_0232,60A21418
plate_0233,51F22029
plate_0234,51F22029
plate_0235,51A05227
plate_0236,51A05227
plate_0237,51F59881
plate_0238,51G39466
plate_0239,51G39466
plate_0240,51F61712
plate_0241,51F61712
plate_0242,51G42971
plate_0243,51G37307
plate_0244,51G37307
plate_0245,51A69172
plate_0246,52Y6490
plate_0247,51F16159
plate_0248,51F16159
plate_0249,51F06609
plate_0250,51F06609
plate_0251,51A89714
plate_0252,51A89714
plate_0253,51G22237
plate_0254,60A03868
plate_0255,60A03868
plate_0256,51G31691
plate_0257,51G31691
plate_0258,51G43630
plate_0259,50Z1630
plate_0260,50Z1630
plate_0261,51G51332
plate_0262,51F22261
plate_0263,60A35981
plate_0264,51F59011
plate_0265,51F59011
plate_0266,52P5688
plate_0267,95688
plate_0268,51G06672
plate_0269,51G06672
plate_0270,51A77529
plate_0271,51A77529
plate_0272,51G31691
plate_0273,51G31691
plate_0274,51F74776
plate_0275,51F07973
plate_0276,51A85325
plate_0277,51A85325
plate_0278,51F82606
plate_0279,51G51292
plate_0280,51G51292
plate_0281,62A05772
plate_0282,51G51008
