image_id,image_path,gt,ambiguous_gt
plate_0001,data/img/plate_0001.jpg,30B34414,false
plate_0002,data/img/plate_0002.jpg,12D107864,false
plate_0003,data/img/plate_0003.jpg,36B563560,false
plate_0004,data/img/plate_0004.jpg,20D20224,false
plate_0005,data/img/plate_0005.jpg,29E172301,false
plate_0006,data/img/plate_0006.jpg,29AF43850,false
plate_0007,data/img/plate_0007.jpg,30A38056,false
plate_0008,data/img/plate_0008.jpg,29AE88280,false
plate_0009,data/img/plate_0009.jpg,30K21969,false
plate_0010,data/img/plate_0010.jpg,15B188870,false
