frame_idx,video_time_ms,easyocr_pred,trocr_pred,same_pred,easyocr_latency_ms,trocr_latency_ms,latency_gap_ms_trocr_minus_easyocr,easyocr_score,trocr_score,easyocr_bbox,trocr_bbox
0,0.0,,MM,false,476.2079,1511.7034,1035.4955,0.0,0.8543357253074646,"[627, 608, 694, 657]","[627, 608, 694, 657]"
1,33.333333333333336,,MM,false,276.6419,887.0754,610.4335,0.0,0.8713577389717102,"[625, 606, 695, 658]","[625, 606, 695, 658]"
2,66.66666666666667,,MM,false,225.1070,950.4012,725.2942,0.0,0.8745968341827393,"[627, 604, 695, 655]","[627, 604, 695, 655]"
3,100.0,,MM,false,215.8792,879.4036,663.5244,0.0,0.8736220598220825,"[627, 603, 695, 655]","[627, 603, 695, 655]"
4,133.33333333333334,,MM,false,208.9162,882.2189,673.3027,0.0,0.8869615197181702,"[628, 605, 696, 654]","[628, 605, 696, 654]"
5,166.66666666666669,,ITEM,false,219.5592,1134.9253,915.3661,0.0,0.8739914894104004,"[628, 601, 697, 653]","[628, 601, 697, 653]"
6,200.0,,ITEM,false,195.1227,1064.5959,869.4732,0.0,0.8631220459938049,"[629, 600, 697, 652]","[629, 600, 697, 652]"
7,233.33333333333334,,MM,false,194.9223,973.2908,778.3685,0.0,0.8473616242408752,"[627, 601, 698, 652]","[627, 601, 698, 652]"
8,266.6666666666667,,RM,false,214.8537,906.6439,691.7902,0.0,0.8232595324516296,"[630, 602, 699, 649]","[630, 602, 699, 649]"
9,300.0,,MM,false,229.6140,896.8948,667.2808,0.0,0.8187544941902161,"[630, 601, 699, 649]","[630, 601, 699, 649]"
10,333.33333333333337,,RM,false,227.2670,901.3110,674.0440,0.0,0.8225480914115906,"[630, 600, 699, 648]","[630, 600, 699, 648]"
11,366.6666666666667,,ITEM,false,240.0005,1073.4546,833.4541,0.0,0.8355361819267273,"[628, 599, 700, 647]","[628, 599, 700, 647]"
12,400.0,,ITEM,false,397.6874,1079.8926,682.2052,0.0,0.8405382037162781,"[628, 599, 700, 647]","[628, 599, 700, 647]"
13,433.33333333333337,,ITEM,false,201.7341,1148.3956,946.6615,0.0,0.778704047203064,"[629, 599, 700, 645]","[629, 599, 700, 645]"
14,466.6666666666667,,ITEM,false,218.9039,1065.2322,846.3283,0.0,0.7859058976173401,"[631, 597, 702, 644]","[631, 597, 702, 644]"
15,500.0,,ITEM,false,206.2742,1159.1016,952.8274,0.0,0.7745556235313416,"[632, 597, 702, 644]","[632, 597, 702, 644]"
16,533.3333333333334,,TAX,false,223.6158,1498.3311,1274.7153,0.0,0.7425706386566162,"[633, 597, 703, 643]","[633, 597, 703, 643]"
17,566.6666666666666,,ITEM,false,220.2033,1346.5464,1126.3431,0.0,0.8042986989021301,"[630, 596, 704, 643]","[630, 596, 704, 643]"
18,600.0,,RM,false,220.6967,914.7834,694.0867,0.0,0.7991081476211548,"[631, 596, 704, 642]","[631, 596, 704, 642]"
19,633.3333333333334,,3,false,195.2672,948.4020,753.1348,0.0,0.7723643779754639,"[0, 729, 66, 831]","[0, 729, 66, 831]"
20,666.6666666666667,,8,false,190.9496,912.0624,721.1128,0.0,0.8694047927856445,"[1, 722, 83, 823]","[1, 722, 83, 823]"
21,700.0000000000001,,8,false,198.7745,1429.1106,1230.3361,0.0,0.9080744385719299,"[1, 717, 101, 819]","[1, 717, 101, 819]"
22,733.3333333333334,22,AM,false,295.6574,1317.4610,1021.8036,0.3263435568414492,0.9017650485038757,"[0, 713, 116, 813]","[0, 713, 116, 813]"
23,766.6666666666667,332,BB,false,439.4667,916.0635,476.5968,0.25235643432984306,0.9064845442771912,"[1, 708, 131, 808]","[1, 708, 131, 808]"
24,800.0,2622,BB,false,425.3144,1412.6771,987.3627,0.19906409521165064,0.9049960374832153,"[2, 704, 144, 802]","[2, 704, 144, 802]"
25,833.3333333333334,2522,BB,false,356.8473,972.1741,615.3268,0.344404011964798,0.9111859798431396,"[18, 702, 155, 798]","[18, 702, 155, 798]"
26,866.6666666666667,2323,BST,false,286.3042,1169.2958,882.9916,0.06354373286400954,0.9013678431510925,"[35, 700, 168, 795]","[35, 700, 168, 795]"
27,900.0,34523,GST,false,253.2428,1203.1733,949.9305,0.13566991373796758,0.9018675088882446,"[42, 699, 173, 793]","[42, 699, 173, 793]"
28,933.3333333333334,34522,6,false,353.2362,1224.4036,871.1674,0.36986698728245737,0.8998792767524719,"[62, 698, 189, 790]","[62, 698, 189, 790]"
29,966.6666666666666,87522,650,false,340.7149,1284.7828,944.0679,0.2776010492601271,0.9040675759315491,"[72, 696, 198, 788]","[72, 696, 198, 788]"
30,1000.0,82522,650,false,403.9620,1246.0536,842.0916,0.5891476022108781,0.9090127944946289,"[76, 695, 203, 788]","[76, 695, 203, 788]"
31,1033.3333333333335,82522,650,false,335.9858,1242.2466,906.2608,0.7762540776253871,0.9098638296127319,"[86, 695, 216, 785]","[86, 695, 216, 785]"
32,1066.6666666666667,82522,650,false,427.0206,1346.8922,919.8716,0.7984120123184878,0.9084581136703491,"[94, 692, 224, 784]","[94, 692, 224, 784]"
33,1100.0,87522,GST,false,311.8149,1215.5683,903.7534,0.5575308006296359,0.9149274826049805,"[97, 691, 228, 784]","[97, 691, 228, 784]"
34,1133.3333333333333,37522,658,false,459.2079,1211.5993,752.3914,0.5060788252945028,0.9082179665565491,"[108, 691, 235, 781]","[108, 691, 235, 781]"
35,1166.6666666666667,37522,658,false,345.4642,1283.4430,937.9788,0.40668141385974593,0.9013559818267822,"[110, 689, 240, 778]","[110, 689, 240, 778]"
36,1200.0,82522,658,false,342.5024,1286.5470,944.0446,0.220934103424711,0.8996365666389465,"[111, 688, 242, 778]","[111, 688, 242, 778]"
37,1233.3333333333335,832522,658,false,342.8718,1175.0565,832.1847,0.21619239131287654,0.9019246101379395,"[118, 689, 247, 777]","[118, 689, 247, 777]"
38,1266.6666666666667,02522,658,false,374.3862,1209.5689,835.1827,0.47437929756307434,0.9037374258041382,"[122, 688, 249, 775]","[122, 688, 249, 775]"
39,1300.0,87522,658,false,376.5782,1378.3050,1001.7268,0.30815974089538933,0.9057528972625732,"[123, 687, 250, 774]","[123, 687, 250, 774]"
40,1333.3333333333335,87522,625,false,353.2423,1268.0934,914.8511,0.32642175281266145,0.9065539836883545,"[125, 686, 252, 774]","[125, 686, 252, 774]"
41,1366.6666666666667,82522,2520,false,296.5277,1364.3601,1067.8324,0.4710415824061764,0.907805323600769,"[128, 687, 253, 774]","[128, 687, 253, 774]"
42,1400.0000000000002,82522,658,false,336.1570,1358.1435,1021.9865,0.5323211660390572,0.9112756848335266,"[128, 686, 253, 774]","[128, 686, 253, 774]"
43,1433.3333333333333,1F,625,false,409.9246,1175.9364,766.0118,0.25073855536525674,0.914757490158081,"[129, 686, 254, 773]","[129, 686, 254, 773]"
44,1466.6666666666667,82522,658,false,340.5528,1285.3428,944.7900,0.6321193886103701,0.9208797812461853,"[130, 687, 256, 773]","[130, 687, 256, 773]"
45,1500.0,82522,2550,false,342.3066,1353.1073,1010.8007,0.7089450028179825,0.9221130609512329,"[131, 687, 256, 773]","[131, 687, 256, 773]"
46,1533.3333333333335,62522,2550,false,298.2008,1325.3136,1027.1128,0.5709128613430466,0.9264015555381775,"[132, 687, 258, 773]","[132, 687, 258, 773]"
47,1566.6666666666667,82522,625,false,291.0767,1174.5447,883.4680,0.4844032192921718,0.9230755567550659,"[134, 688, 259, 773]","[134, 688, 259, 773]"
48,1600.0,82522,67528,false,427.8418,1210.7117,782.8699,0.7911513564267314,0.9208402633666992,"[134, 688, 260, 773]","[134, 688, 260, 773]"
49,1633.3333333333333,82522,2550,false,362.4516,1429.3219,1066.8703,0.5229022126010004,0.9011492133140564,"[136, 687, 261, 772]","[136, 687, 261, 772]"
50,1666.6666666666667,82522,2550,false,336.6411,1611.3459,1274.7048,0.36176819285598166,0.9004898071289062,"[139, 685, 264, 771]","[139, 685, 264, 771]"
51,1700.0000000000002,12522,658,false,432.0496,1505.8072,1073.7576,0.4314640878985448,0.8991739749908447,"[141, 685, 265, 770]","[141, 685, 265, 770]"
52,1733.3333333333335,02522,658,false,469.5096,1214.0097,744.5001,0.44719215750680585,0.8997272849082947,"[142, 685, 266, 771]","[142, 685, 266, 771]"
53,1766.6666666666667,82522,2525,false,376.6724,1495.6205,1118.9481,0.6237798818142624,0.8934800624847412,"[144, 684, 268, 770]","[144, 684, 268, 770]"
54,1800.0,82522,2550,false,384.1727,1353.9553,969.7826,0.49053085544533664,0.8934506177902222,"[145, 684, 269, 770]","[145, 684, 269, 770]"
55,1833.3333333333335,82522,67525,false,390.1860,1372.3532,982.1672,0.45202346283153994,0.8950998187065125,"[145, 684, 270, 771]","[145, 684, 270, 771]"
56,1866.6666666666667,12522,2525,false,383.1713,1406.2448,1023.0735,0.6009925277510695,0.8983937501907349,"[149, 684, 272, 770]","[149, 684, 272, 770]"
57,1900.0000000000002,62522,2525,false,465.3697,1755.2724,1289.9027,0.8419632996689268,0.8988146185874939,"[150, 684, 273, 769]","[150, 684, 273, 769]"
58,1933.3333333333333,02522,67525,false,363.5414,1499.6082,1136.0668,0.45504621050537325,0.8959298133850098,"[150, 683, 273, 769]","[150, 683, 273, 769]"
59,1966.6666666666667,82522,2525,false,367.4960,1496.3196,1128.8236,0.50915473483667,0.89933180809021,"[152, 685, 273, 768]","[152, 685, 273, 768]"
60,2000.0,82522,2525,false,354.9326,1451.9292,1096.9966,0.4111672984366833,0.8992772102355957,"[153, 685, 274, 768]","[153, 685, 274, 768]"
61,2033.3333333333333,82522,67525,false,319.0655,1262.4644,943.3989,0.5298676390804992,0.8984059691429138,"[154, 684, 275, 768]","[154, 684, 275, 768]"
62,2066.666666666667,82522,625,false,412.9233,1357.3751,944.4518,0.5416215127434295,0.8971565961837769,"[157, 684, 276, 767]","[157, 684, 276, 767]"
63,2100.0,02522,625,false,397.5480,1466.6498,1069.1018,0.25805468283663935,0.8914462327957153,"[159, 684, 277, 767]","[159, 684, 277, 767]"
64,2133.3333333333335,1F,625,false,348.9428,1689.8222,1340.8794,0.4859858381788588,0.8897537589073181,"[159, 685, 278, 767]","[159, 685, 278, 767]"
65,2166.666666666667,02522,625,false,350.6121,1666.2041,1315.5920,0.31596038761222717,0.8891311287879944,"[160, 685, 279, 766]","[160, 685, 279, 766]"
66,2200.0,82522,67525,false,376.4373,1341.1737,964.7364,0.7529002882597072,0.8924108147621155,"[160, 684, 279, 767]","[160, 684, 279, 767]"
67,2233.3333333333335,82522,67529,false,348.1988,1541.5232,1193.3244,0.6562784265834783,0.8924582600593567,"[162, 685, 281, 766]","[162, 685, 281, 766]"
68,2266.6666666666665,82522,67529,false,415.9994,1308.8220,892.8226,0.3831119343384468,0.8949973583221436,"[163, 685, 281, 765]","[163, 685, 281, 765]"
69,2300.0000000000005,1F,12529,false,371.8419,1251.1625,879.3206,0.6686264850202376,0.8952565789222717,"[163, 684, 281, 766]","[163, 684, 281, 766]"
70,2333.3333333333335,R252Z,12528,false,525.8593,1738.4828,1212.6235,0.1733613299483886,0.9012943506240845,"[164, 684, 282, 764]","[164, 684, 282, 764]"
71,2366.6666666666665,1FA,12528,false,342.6769,1622.4594,1279.7825,0.2513503432273865,0.9094948768615723,"[165, 683, 283, 763]","[165, 683, 283, 763]"
72,2400.0,0252Z,12529,false,330.9645,1337.0306,1006.0661,0.15982110097990776,0.8965387344360352,"[166, 682, 285, 763]","[166, 682, 285, 763]"
73,2433.3333333333335,R252Z,12528,false,346.4974,1662.3138,1315.8164,0.2592033866908034,0.894405722618103,"[167, 681, 286, 762]","[167, 681, 286, 762]"
74,2466.666666666667,82522,12523,false,449.4339,1626.8670,1177.4331,0.3274668111935094,0.893547534942627,"[169, 679, 288, 760]","[169, 679, 288, 760]"
75,2500.0,82522,12528,false,430.1475,1517.4310,1087.2835,0.6379175488948566,0.8955371975898743,"[170, 680, 289, 760]","[170, 680, 289, 760]"
76,2533.3333333333335,B2522,625,false,336.0749,1178.2164,842.1415,0.29051015005362624,0.9055258631706238,"[177, 678, 291, 757]","[177, 678, 291, 757]"
77,2566.666666666667,B522,2525,false,343.6229,1341.6746,998.0517,0.4775428771972656,0.9077854752540588,"[177, 678, 293, 757]","[177, 678, 293, 757]"
78,2600.0,B2522,625,false,361.8876,1226.2153,864.3277,0.5689961142678462,0.9078672528266907,"[179, 678, 293, 756]","[179, 678, 293, 756]"
79,2633.3333333333335,B2522,625,false,402.0435,1168.5723,766.5288,0.38373157773992844,0.8994894623756409,"[182, 677, 296, 755]","[182, 677, 296, 755]"
80,2666.666666666667,02522,12525,false,345.9048,1209.4198,863.5150,0.4743638699059834,0.8917310237884521,"[186, 677, 298, 754]","[186, 677, 298, 754]"
81,2700.0,02522,625,false,444.5180,1621.7217,1177.2037,0.4729982874290502,0.9066320657730103,"[185, 676, 299, 754]","[185, 676, 299, 754]"
82,2733.3333333333335,02522,67525,false,410.8892,1254.9229,844.0337,0.6049977922736299,0.9133749604225159,"[186, 676, 300, 753]","[186, 676, 300, 753]"
83,2766.6666666666665,B2522,625,false,547.5933,1226.3875,678.7942,0.3740276353241356,0.8960699439048767,"[190, 674, 304, 752]","[190, 674, 304, 752]"
84,2800.0000000000005,02522,67525,false,460.3008,1291.0544,830.7536,0.4909919828475052,0.8880795836448669,"[192, 674, 305, 751]","[192, 674, 305, 751]"
85,2833.3333333333335,B7522,67525,false,418.2714,1328.7905,910.5191,0.5206597333614914,0.8850329518318176,"[192, 673, 307, 750]","[192, 673, 307, 750]"
86,2866.6666666666665,02522,825,false,366.0947,1306.9129,940.8182,0.5241684078280089,0.9042428135871887,"[197, 671, 309, 747]","[197, 671, 309, 747]"
87,2900.0000000000005,82522,625,false,366.9940,1334.2695,967.2755,0.7365115738250984,0.9069113731384277,"[199, 669, 310, 747]","[199, 669, 310, 747]"
88,2933.3333333333335,02522,67550,false,475.0578,1219.8331,744.7753,0.47089209817835237,0.9109973907470703,"[200, 669, 312, 746]","[200, 669, 312, 746]"
89,2966.666666666667,02522,625,false,368.5228,1154.1607,785.6379,0.7635529591793969,0.9241166710853577,"[202, 668, 314, 745]","[202, 668, 314, 745]"
90,3000.0,32522,625,false,474.0116,1350.8714,876.8598,0.39491992371865126,0.9177590608596802,"[203, 668, 314, 744]","[203, 668, 314, 744]"
91,3033.3333333333335,82522,625,false,390.6217,1483.4959,1092.8742,0.6398409375281909,0.9121074080467224,"[204, 668, 316, 744]","[204, 668, 316, 744]"
92,3066.666666666667,182522,2529,false,372.9643,1494.6221,1121.6578,0.5335718872446288,0.8923781514167786,"[205, 667, 318, 742]","[205, 667, 318, 742]"
93,3100.0,182522,82823,false,447.8174,1681.4004,1233.5830,0.6938365439957491,0.8835383057594299,"[205, 666, 321, 741]","[205, 666, 321, 741]"
94,3133.3333333333335,82522,6,false,368.3411,1057.6702,689.3291,0.44970414524227165,0.8791759610176086,"[204, 665, 323, 741]","[204, 665, 323, 741]"
95,3166.666666666667,82522,625,false,406.0256,1534.8413,1128.8157,0.4820368024392975,0.8769772052764893,"[205, 664, 325, 739]","[205, 664, 325, 739]"
96,3200.0,82522,625,false,374.4759,1338.3945,963.9186,0.3480736546895468,0.8821058869361877,"[211, 663, 326, 739]","[211, 663, 326, 739]"
