frame_idx,video_time_ms,easyocr_pred,trocr_pred,same_pred,easyocr_latency_ms,trocr_latency_ms,latency_gap_ms_trocr_minus_easyocr,easyocr_score,trocr_score,easyocr_bbox,trocr_bbox
0,0.0,7985,RM,false,763.0925,1477.1658,714.0733,0.1753567010164261,0.6283069849014282,"[550, 312, 588, 343]","[550, 312, 588, 343]"
15,500.0,531,SR,false,423.4372,1296.8851,873.4479,0.49824273586273193,0.49824273586273193,"[939, 333, 982, 362]","[939, 333, 982, 362]"
30,1000.0,29X5,SR665,false,584.4103,1506.2570,921.8467,0.504734992980957,0.504734992980957,"[475, 332, 512, 359]","[475, 332, 512, 359]"
45,1500.0,,,true,90.1179,75.8705,-14.2474,0.0,0.0,,
60,2000.0,224,SR2,false,443.0361,1389.4713,946.4352,0.5678335843942679,0.9024720788002014,"[474, 635, 562, 696]","[474, 635, 562, 696]"
75,2500.0,3822,38293,false,369.0265,1246.5587,877.5322,0.39840951561927795,0.39840951561927795,"[616, 549, 683, 598]","[616, 549, 683, 598]"
90,3000.0,,,true,64.2389,64.1403,-0.0986,0.0,0.0,,
105,3500.0,,,true,59.2065,65.9922,6.7857,0.0,0.0,,
120,4000.0,,,true,71.0190,62.0750,-8.9440,0.0,0.0,,
135,4500.0,12L2S,6,false,374.4201,1207.1485,832.7284,0.31155876484240835,0.7609681487083435,"[590, 596, 649, 639]","[590, 596, 649, 639]"
150,5000.0,24HE,24AE,false,304.8664,1425.6321,1120.7657,0.13328647288478385,0.7758913040161133,"[268, 689, 354, 720]","[268, 689, 354, 720]"
165,5500.0,24AE,03153,false,404.3909,1496.7293,1092.3384,0.7373098112106453,0.8943686485290527,"[385, 615, 463, 669]","[385, 615, 463, 669]"
180,6000.0,01153,0355,false,394.9043,1536.3528,1141.4485,0.7842555243719467,0.8688474297523499,"[450, 567, 517, 614]","[450, 567, 517, 614]"
195,6500.0,24AE,03165,false,397.6930,1303.6250,905.9320,0.3590182061065099,0.6535647511482239,"[500, 541, 562, 584]","[500, 541, 562, 584]"
210,7000.0,25,09202,false,437.1318,1294.7653,857.6335,0.45300474762916565,0.45300474762916565,"[242, 661, 335, 716]","[242, 661, 335, 716]"
225,7500.0,26,09202,false,429.6176,1506.2169,1076.5993,0.5234215459661101,0.7156316637992859,"[349, 611, 436, 661]","[349, 611, 436, 661]"
240,8000.0,26,09202,false,361.8587,1267.7837,905.9250,0.31997498869895935,0.31997498869895935,"[420, 557, 498, 600]","[420, 557, 498, 600]"
255,8500.0,25,09200,false,363.5935,1730.9647,1367.3712,0.5340069532394409,0.5340069532394409,"[440, 549, 516, 592]","[440, 549, 516, 592]"
270,9000.0,26,09202,false,461.3940,1539.1087,1077.7147,0.28128254413604736,0.28128254413604736,"[452, 552, 529, 599]","[452, 552, 529, 599]"
285,9500.0,26,09202,false,346.7172,1586.2926,1239.5754,0.5377764105796814,0.5377764105796814,"[472, 543, 548, 586]","[472, 543, 548, 586]"
